text,date,newspaper,likes,retweets,lang,period
amazon describe holiday season recordbreake company billion item order site ten million amazon device purchase worldwide,2019-12,wsj,50,25,en,precovid
decade leftover poor image way life dictate economic necessity,2019-12,wsj,53,13,en,precovid
york gov cuomo veto bill legalize electric bike,2019-12,wsj,50,16,en,precovid
real ford win le mans story tell ford ferrari movie star matt damon christian bale,2019-12,wsj,186,55,en,precovid
israeli prime minister benjamin netanyahu claim major victory likud party primary election,2019-12,wsj,76,31,en,precovid
iván simonovis go caracas police chief prisoner venezuela socialist regimethen foot cliff freedom write,2019-12,wsj,43,21,en,precovid
aviation regulator want virtually drone remotely identify track airspace,2019-12,wsj,103,48,en,precovid
comcast talk acquire videostreame company xumo people familiar matter ready launch streaming service,2019-12,wsj,37,20,en,precovid
wave restructuring consolidation bring baby boomer step aside provide jolt legion european company accustom survive innovate invest grow,2019-12,wsj,38,19,en,precovid
mexico call bolivia cease harassment diplomatic facility la paz give asylum bolivians,2019-12,wsj,39,17,en,precovid
condo building grow supertall mansion mega home sale top million decade realestate industry remember,2019-12,wsj,57,23,en,precovid
big charter network operate york alumnus staff personal attention support help recent graduate succeed college,2019-12,wsj,60,16,en,precovid
modernize jacket require dress code ask expert,2019-12,wsj,32,15,en,precovid
stock hit fresh record send nasdaq time amazon rise strong holiday sale,2019-12,wsj,101,47,en,precovid
die key figure york giants scheme steal sign suggest bobby thomson know important pitch hit,2019-12,wsj,47,18,en,precovid
swim humpback whale glide world long zip line twoweek trek remote alaska trip extreme thrillseeker,2019-12,wsj,42,13,en,precovid
app dark mode good eye brain battery,2019-12,wsj,241,62,en,precovid
nba champion american football coach half international soccer manager world obsess liverpool jrgen klopp,2019-12,wsj,128,33,en,precovid
passengerrail service florida test drone infrared sensor response grow number fatality corridor,2019-12,wsj,40,18,en,precovid
amid tension populist right socialist leave social religious institution hold community weak write,2019-12,wsj,26,13,en,precovid
christmas hong kong descend flurry tear gas arrest police clash protester neighborhood,2019-12,wsj,48,38,en,precovid
chocolate holiday favorite toxic dog number need know,2019-12,wsj,49,30,en,precovid
obituary joseph segel found qvc shopping channel franklin mintsurviving flop way,2019-12,wsj,49,13,en,precovid
look antirobocall law doesand,2019-12,wsj,42,11,en,precovid
babyformula maker long try produce product confer benefit breast milk possible solution lie chemically complex type sugar,2019-12,wsj,30,6,en,precovid
staff pick games decadefrom dramatic influential plain unforgettable,2019-12,wsj,71,28,en,precovid
airport big atlanta world busy airport term local connect passenger rank securityline wait time accord analysis,2019-12,wsj,35,15,en,precovid
work go elaborate christmas meal means end,2019-12,wsj,36,11,en,precovid
popular culture cast regifte taboo gift pass people appreciate,2019-12,wsj,57,15,en,precovid
windshield fluid check jumper cable yes weasel repellent spray necessary,2019-12,wsj,83,18,en,precovid
agie neneh sissoho junior barnard support charter school help persist college,2019-12,wsj,53,9,en,precovid
airbnb ceo company need responsibility stuff platform doingand,2019-12,wsj,32,13,en,precovid
south spend century catch rest decade low education spending leave southerner illequippe major economic shift,2019-12,wsj,140,102,en,precovid
halt moneymarket volatility fed flood market cash accumulate asset face yearend test financial institution limit lending,2019-12,wsj,34,11,en,precovid
